Relatório de palavras-chave da rede de pesquisa
23 de Novembro de 2021 - 23 de Novembro de 2021
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPC máx.,URL final,URL final para dispositivos móveis,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conversões,Custo / conv.,Taxa de conv.
Ativado,placa de carro,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,2,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placa veiculo,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,17,1,"5,88%","0,52","0,52","0,00","0,00","0,00%"
Ativado,sinesp placa,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,valor do emplacamento,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacar,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,4,1,"25,00%","0,99","0,99","0,00","0,00","0,00%"
Ativado,emplacamento detran sp,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,3,1,"33,33%","0,57","0,57","0,00","0,00","0,00%"
Ativado,placa de veiculo,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,28,3,"10,71%","0,45","1,34","1,00","1,34","33,33%"
Ativado,placa de motos,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento mercosul,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,13,1,"7,69%","0,54","0,54","0,00","0,00","0,00%"
Ativado,placa mercosul preço,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento mercosul valor,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,valor placa mercosul sp,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,14,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placa de carro em santo amaro,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Não qualificado,raramente exibido,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas de veiculos,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,24,2,"8,33%","0,92","1,84","0,00","0,00","0,00%"
